student_id,final_test
RQW2CL,74.0
F74BR3,67.0
8FQFI2,74.0
5MQXY7,80.0
GSMWNH,82.0
CSM4UQ,84.0
83D8DB,86.0
LOV106,51.0
0EIVK8,74.0
PR9YNC,79.0
AYTTI0,51.0
8PS0AB,91.0
6G4AAV,51.0
KLPT3M,68.0
IZ98DD,81.0
DO5748,79.0
RRD60A,66.0
3W2E0P,68.0
1BIZMC,80.0
2TUCR8,41.0
G7768S,55.0
VBJQ6V,62.0
I2P2Z5,55.0
NMWQIN,86.0
67PM8A,88.0
FUR85D,68.0
6DNCSC,55.0
OHI9C0,48.0
SC4415,67.0
1HVJZJ,71.0
DKGBXK,38.0
08SYNU,92.0
3F7V8E,45.0
BP6YK6,49.0
XC58GQ,54.0
VLIQSV,43.0
EK188Z,87.0
A7DHHB,77.0
4YNS4V,54.0
ETW2DG,73.0
V9QJAO,83.0
6K3X1X,49.0
16W9YY,43.0
U2L4AX,77.0
41N0DA,76.0
JI84UL,79.0
ZK6XU0,64.0
NY1XKT,58.0
DUDYA0,59.0
GXXA2Z,84.0
MG99L6,89.0
S15DFF,82.0
X53J4E,69.0
9V6REW,58.0
6TZ34L,70.0
VKMGFE,72.0
PX9ZWS,76.0
DHOIYC,54.0
8N3FGT,79.0
E712T6,94.0
2NDS80,79.0
WN5H2N,44.0
8LTT10,65.0
OYPE03,81.0
KN3ATO,65.0
RYCELW,72.0
8G66LP,80.0
RK3AAX,66.0
B8NUOK,78.0
AYQIR9,71.0
35JUPP,78.0
8CVYUI,66.0
WWTQ82,62.0
SITRZI,44.0
NHZ4ZY,69.0
GN81SK,40.0
BFQR1Q,70.0
7OQM9D,52.0
TLWIKW,51.0
JBBROO,86.0
RGTAD8,86.0
VX9MC3,96.0
EYFFBN,91.0
KL72AC,59.0
A8AHIT,76.0
881CIV,54.0
KZP5EP,60.0
IK7KQU,81.0
A3R762,37.0
TEW3BB,67.0
DJWY8Q,55.0
CK0ZMC,91.0
7UZAKM,68.0
ETEGAI,90.0
PFXMRY,73.0
1Z3VMP,78.0
UFK1RL,73.0
AVZ0JP,43.0
HZ79CD,69.0
TRTR7F,60.0
88OMT9,82.0
ZJEUD5,62.0
04PR3J,76.0
51JG2R,49.0
KGESF3,79.0
S6N6TD,96.0
TEUUAN,75.0
E2ZE9O,83.0
0L32T9,70.0
CB12YS,76.0
XXYR5V,81.0
X0O174,61.0
J2N3UX,71.0
U48CY9,69.0
182JR9,95.0
G0U21O,61.0
6Y6OJA,39.0
UWD03P,56.0
1JFT9Q,83.0
3JFHM4,69.0
K3FB7X,60.0
MY3ZVX,72.0
Z0LVB3,49.0
B2P8TC,69.0
WNU07B,80.0
1HZL0A,59.0
129Y7B,93.0
U2GCKP,85.0
XI75GJ,67.0
WPCIWQ,61.0
BZODZP,64.0
FCEI0U,79.0
JK8KQJ,95.0
7Y5END,70.0
G5ILJN,49.0
55COB8,91.0
NZBKAI,46.0
92X86W,94.0
5JPZBG,66.0
FX4B2P,44.0
PXE44I,76.0
P8SV8X,71.0
7EDPKD,61.0
W5QIJ0,56.0
L1UB0M,53.0
KFINSC,85.0
DE8N9J,66.0
5WHCKW,56.0
ZAWEJ9,65.0
B8HZ08,49.0
UWH4XG,82.0
T3ZCB7,69.0
H8SAVC,53.0
05AHNU,54.0
7IZB0S,79.0
YPMQIW,79.0
VRSYQL,63.0
A0GUKS,86.0
Q991RK,92.0
6ZL94P,58.0
D07X36,47.0
A8HS3Y,88.0
9D52E0,47.0
USYRZQ,82.0
JPPBB7,50.0
RQ1BCU,87.0
GUVKLT,62.0
037414,42.0
4TSXSR,64.0
XF9O9Q,42.0
CX9Z8B,62.0
59KCYZ,80.0
RQDZK2,66.0
XX8H7D,83.0
LPNPE7,74.0
XAUB48,49.0
RL7D9Z,50.0
ILVJ9R,69.0
JAEUB3,78.0
HWYQOX,44.0
RL2IBN,54.0
C6HP2V,81.0
2OFRAX,66.0
4830MJ,68.0
LJJVNQ,57.0
O6YUFX,60.0
BA27OA,62.0
82PG2I,60.0
SK98KK,59.0
7W11YT,55.0
58HVMC,67.0
MWMWFN,70.0
S3MPBQ,74.0
OHJC4Z,56.0
2GTUWC,76.0
8SVXDO,60.0
3T3EO2,72.0
9I4IGV,77.0
VVC1XS,91.0
KY4GY6,83.0
2LAMEL,79.0
N1DET0,70.0
2TUYBL,53.0
7URCKF,81.0
BCY06E,69.0
3B7XMA,64.0
0ON20S,74.0
WP9H8C,72.0
ORF9OE,77.0
5658LB,58.0
TE4Z4C,73.0
N9DQOK,66.0
BB04DE,79.0
K35C75,77.0
9GIGZA,69.0
E0WPBY,91.0
KXUSCP,69.0
NS798C,44.0
6NST8U,46.0
536X52,87.0
O93UXJ,77.0
GK6TLZ,46.0
YU97EN,42.0
NDBNTB,74.0
J0Y5VW,46.0
AA04L0,65.0
L5GXO6,69.0
8CE65U,75.0
CDY20D,49.0
EZIO7B,75.0
FVZOQO,80.0
HF6SN0,99.0
RJZAUZ,70.0
LHEA8N,65.0
K4VAUK,79.0
49MQ2G,93.0
9POG4V,74.0
WMUS9P,70.0
MXT4PI,69.0
94FHFF,91.0
A62P92,58.0
IL7J8T,75.0
ET1R04,53.0
TE7COQ,56.0
QSARIH,56.0
SQ3B1O,52.0
QG8WVF,84.0
QB177D,55.0
QEL57W,45.0
10K1EH,64.0
2O7KZ5,55.0
FC1SOG,46.0
GF2M8V,53.0
CW103W,46.0
TXWUSE,56.0
623CLC,83.0
4NBAT8,73.0
3DPMJ5,40.0
B7EN79,55.0
QVATIW,75.0
NJGQ12,52.0
946UV0,41.0
HOVQKH,48.0
ANEU8W,69.0
7KU7MD,56.0
CJKARZ,41.0
YCRBY2,88.0
OJW876,71.0
5IQF7N,74.0
M1XMR8,66.0
7BRW6J,60.0
ZJGM04,55.0
ADPU01,34.0
UO7RF7,45.0
92HS9C,78.0
JHLBQY,69.0
TKRNT8,71.0
F6TTQC,56.0
L81OFH,58.0
BOVXWT,51.0
SWY65D,61.0
BWBPAK,86.0
6WRBD0,85.0
J5JXFR,74.0
A5GFYO,89.0
3CC7EJ,64.0
0JPOWG,80.0
Y430N0,83.0
SXMDAP,65.0
7TC40J,90.0
KFOFMG,50.0
OVK6K9,49.0
PM9WPO,63.0
9WYOAU,46.0
70TNQX,67.0
DFC9V5,80.0
VL37ID,70.0
I6HCI2,67.0
RA94FU,69.0
5SQ3GJ,48.0
6QUDC7,79.0
5XJH4Q,60.0
SSH5BY,94.0
0TKPVF,69.0
EKBDD5,64.0
K87HTX,69.0
P86ZJL,78.0
V6O0C3,63.0
U6Q0LA,59.0
HTSO04,56.0
7FA6JR,56.0
BH0ZAY,53.0
OR0OJK,50.0
9JF45Y,47.0
XS0KNU,93.0
M6TA9D,69.0
AE5HMK,46.0
31LFFM,75.0
RSALQX,50.0
4M4C61,73.0
SW25NR,72.0
U31OL1,100.0
BDBTUR,80.0
KLXCCN,81.0
19SRWF,55.0
RYWJV7,69.0
3XEZX7,70.0
DHU6S5,54.0
6UMKPE,87.0
1Q2B60,77.0
A9XK9I,58.0
4PA5EO,79.0
M8OAV5,65.0
TJC8TA,62.0
AOHEE1,52.0
DQE7FW,78.0
5MFOO9,59.0
Z5N626,69.0
46GSL0,43.0
6DW1IB,68.0
Q7ZF80,100.0
133SOF,68.0
NVMPG9,69.0
9MLDJG,67.0
FO6XIL,59.0
JE5ITX,56.0
AYVAPH,65.0
ES18FK,87.0
VKSHJK,76.0
LGZFCB,76.0
PS0LYQ,79.0
L052CP,54.0
QQTS02,52.0
FE25V2,61.0
Z66MGH,81.0
VVUCV5,72.0
J7IBAC,79.0
2ZPP6K,69.0
YS2DCF,59.0
DAQ99Z,73.0
PA731A,59.0
N2MH5S,51.0
9NN9XU,55.0
E6U5VI,63.0
U7L84T,76.0
VQAWW2,80.0
8I7BIM,70.0
Y1L5G4,96.0
J10J5O,46.0
ZM6WWW,43.0
AQHZIM,73.0
T0IUFF,48.0
5I1BDI,57.0
UTGNN6,72.0
MWSLDI,72.0
5EQCFP,91.0
ASDVRA,51.0
QL9T9X,43.0
1JUJ7G,57.0
HERQM8,76.0
KVFXFL,62.0
UBURR5,77.0
FQ7OJS,68.0
3MY0WV,75.0
1YF3E3,80.0
R1Y7N7,73.0
6SZO1O,70.0
LUYZCR,67.0
NW6H8B,81.0
ND3V1X,49.0
WJB49U,77.0
SSOFW9,69.0
ZGVOLD,85.0
EAZDA8,52.0
G9VXYK,48.0
BAO3NM,63.0
8FW1D7,69.0
MAMS3D,70.0
5OSRL3,58.0
4I5XP9,81.0
88CVDX,63.0
9XQ9CK,72.0
MJE2AR,93.0
J4QFNS,76.0
MM1YFW,42.0
FDWFPN,49.0
ERK93J,72.0
4TRJSN,65.0
LQW6I1,61.0
2U4BHJ,56.0
ZYKQ8Z,87.0
BDLHHV,61.0
ZZBJS5,79.0
Y8AZNF,80.0
JR2STX,55.0
8ICRIO,75.0
1M9H3K,90.0
ISX4O1,53.0
BMKBFD,76.0
6TBTC3,49.0
TIIX1L,80.0
JTX9XR,78.0
TTSLQM,75.0
IIMKZ1,83.0
7SFPXH,93.0
MIV3TJ,79.0
DXWVM6,69.0
3AZ280,59.0
GJ9Y2X,88.0
35PANO,69.0
F1CZJQ,82.0
CJH2B8,80.0
4QAP38,88.0
V2G6A3,84.0
6U1HRM,43.0
X3FOAG,73.0
IVC5RD,71.0
4AXEKV,73.0
URL701,58.0
9K1TBE,58.0
ZZNA57,72.0
CLTC50,65.0
KLIEJI,51.0
YN3O8Q,85.0
L9LTVP,54.0
EGVC52,62.0
BWOO09,54.0
7D7871,95.0
FUDDGD,43.0
UWOCXM,55.0
V547T5,67.0
8L7RE5,83.0
N9EM1B,91.0
KRXUR4,69.0
G8Z6LX,63.0
2ZIMVY,64.0
C1219R,77.0
8L6CFM,82.0
T9HZNK,81.0
3UX3HR,71.0
GKC9CA,71.0
2QLNJ3,72.0
U0KJRP,49.0
VB2JK4,48.0
0Z1YOV,50.0
BJKGY5,55.0
UFKNUO,73.0
P8RFMA,68.0
21RRSO,67.0
SF9FJW,62.0
VVXURL,80.0
IKVBVI,72.0
SLTM8S,67.0
8HJI29,90.0
F61JVM,67.0
H4YERG,61.0
3ZDU5J,63.0
3AG4WV,75.0
TUB8PY,57.0
28RSNF,62.0
XXNZNX,42.0
7SHWTT,57.0
H7MV34,68.0
M1FCM3,81.0
9UE054,79.0
SG1489,56.0
K5IV54,69.0
6YUHOD,45.0
HEMFHM,61.0
NT3MVL,51.0
4XHLBG,53.0
1VVKME,66.0
CPFTQX,67.0
HKYM2V,61.0
NRW64K,53.0
JD6A8R,66.0
HRW849,75.0
XYP1I3,71.0
C94QCL,71.0
6S05X1,58.0
2VBKPI,75.0
R6W9HL,45.0
8NUSXX,79.0
EALSMK,68.0
6ONXZ5,80.0
JTIMPQ,59.0
I0KCFQ,60.0
OJT6U2,59.0
2DKO1F,61.0
BV3OII,82.0
RO6HOC,72.0
Y79T20,58.0
TSSIND,76.0
I4ZPT8,54.0
7AQGUA,95.0
CHVIV1,56.0
GJQ9VI,87.0
06H6LF,78.0
7QZXVM,72.0
TLJ7JQ,56.0
95N8JX,76.0
R3GR6X,75.0
IHBZ0X,44.0
B2357C,72.0
MJJIB1,68.0
IMAR2S,49.0
16HBI6,64.0
ZRNNS9,94.0
MH0BMK,61.0
8UBHU6,92.0
HH7BM9,60.0
5ETLNW,65.0
2K1Q2R,47.0
FFVM7S,72.0
MRMZVC,59.0
SV1D3B,76.0
BO4YH3,57.0
DUA7IK,51.0
OZC5KW,72.0
XJCW09,91.0
DNTEO8,54.0
AUD3M6,58.0
PSK1Q7,56.0
JAYNIC,63.0
CD7RV9,85.0
Y13U9F,61.0
YR7IZI,60.0
WJC5S8,75.0
IX6H9J,98.0
4LB0VM,64.0
DQ2WN4,53.0
5GGJA2,51.0
1QQV3O,81.0
GPDH8O,77.0
WO545N,49.0
14JAQW,59.0
XMGTGK,71.0
1JWEJ2,43.0
RYYKLM,63.0
4Q2RCY,48.0
CLVCZT,82.0
UCPBMW,90.0
QT7C74,77.0
O665U7,81.0
EP99XC,43.0
Y4P84L,64.0
6GJOKY,51.0
QOCEYM,84.0
BV4N3E,68.0
NDIXN7,56.0
J5WBUZ,56.0
N2DX1T,78.0
3RV90F,51.0
HNFAZ7,37.0
T4XIRW,71.0
9S1AAR,100.0
36QIWA,67.0
XZDMQ1,69.0
ZFZ7W9,87.0
6SX8EZ,62.0
X1E1WR,41.0
O6FE6U,85.0
ZQ3CS8,53.0
L07J19,70.0
2GMMS3,85.0
HCF7JG,64.0
O3L2CQ,50.0
FS657F,59.0
GCEDA8,55.0
LHUNG6,45.0
N1SNKX,69.0
YYYCG1,70.0
C7RT8A,48.0
1AEVRC,57.0
OPQP3V,45.0
2OS39W,64.0
8CY3I4,69.0
W13KAT,47.0
WCM98I,66.0
T9YXK5,62.0
DZWW5A,83.0
EWM7PN,37.0
32WAZZ,70.0
YF2HCL,59.0
1DVSGE,73.0
58JPUW,93.0
FH10YA,70.0
NTGXIW,98.0
HG8XNZ,49.0
CSGJW4,65.0
8BHCNH,79.0
WD40A5,59.0
UU8CTY,83.0
46WRZ4,82.0
UQYYRA,59.0
482ZD0,78.0
ULELMF,61.0
FLPGAY,48.0
KS9MGO,62.0
KMDOWR,54.0
FTC4IE,49.0
DGJLSD,85.0
NN62UX,78.0
PUKQ19,58.0
7HSN7C,53.0
7RLRFB,43.0
OQWFS8,61.0
GVO5XV,83.0
S4WRFQ,94.0
A4D4KO,85.0
6I5W27,68.0
9VV52Q,78.0
N6PTA1,45.0
CSSY3Z,52.0
KIH5UT,72.0
00Z0V7,66.0
WH8Y5D,85.0
DCQVP8,51.0
ZPTGIS,48.0
RARLB8,48.0
PHZPR7,89.0
VG1QUU,56.0
I5MLW1,82.0
ILJYYB,71.0
ULIMYA,43.0
WLF5V7,95.0
GEWK5H,73.0
YO9J4Y,82.0
DCMYUQ,79.0
JZAYHC,86.0
N3E2KA,54.0
7VWDLR,78.0
YIP33O,39.0
HO94RV,58.0
LWC1BZ,79.0
1DNTSZ,39.0
RDMJ6T,61.0
GD95FO,67.0
61GLGX,73.0
UGGS5K,75.0
ERMZTB,78.0
FYZXYL,44.0
NES1G5,78.0
8IUZS5,76.0
44XAV0,95.0
8MG9SW,67.0
S4RR0X,45.0
97M8XM,86.0
0U8GC9,79.0
2LXXOG,85.0
RR8K1K,93.0
DIJ8Y2,87.0
NZVODC,82.0
PDDW4G,59.0
WRVC40,47.0
Z8DZAD,55.0
DO7UAH,48.0
RKZWOH,76.0
JLHIKD,78.0
36DQL6,45.0
YFOK2W,55.0
TCGEMT,64.0
PA540Y,69.0
QMZSS4,49.0
EO8F9A,67.0
AKV912,76.0
16IL2C,63.0
A5JNFL,91.0
V6RGKM,71.0
X8VN9G,59.0
4Q960I,94.0
E9SMYE,68.0
RRQ6ER,96.0
G47H21,68.0
BE8E6U,78.0
2OTFYV,45.0
OWZMX0,72.0
LUBLWV,62.0
MSDO0P,52.0
LB0LL6,86.0
N4LGGF,47.0
EO6T4W,84.0
2KUZ3Y,72.0
OXADHE,76.0
DD7RKE,66.0
TYFL6J,66.0
3LGLNI,61.0
0QKNGR,53.0
LI1NTH,72.0
41Z2L0,67.0
LTRFK0,54.0
FZNK9N,49.0
R8BQYO,48.0
2ZY1YP,78.0
8L13ZJ,41.0
6RAQX1,60.0
5PD1N1,45.0
MTAD15,53.0
KDXG9Q,61.0
39HZMX,65.0
6S4H8T,84.0
Z0GJWG,64.0
48MKZC,86.0
XU92OM,90.0
ISG75T,56.0
SH2IFH,70.0
MGH8X9,72.0
PP6HDF,86.0
NHZA47,54.0
P70M8B,53.0
VOJ9BO,61.0
XUE4PO,43.0
3OL0H4,42.0
AIEQRG,100.0
7W17KO,72.0
HR0ECV,47.0
Y2GQSS,61.0
G4M80K,77.0
NM8OBW,72.0
MAB5L4,78.0
CAAKNK,70.0
2K4ZL6,40.0
C7O68D,58.0
IWAJ0H,77.0
0VG8AP,46.0
D4SVVS,53.0
6LSFP4,85.0
EXMO6I,80.0
4X6I2D,46.0
MKOLOB,77.0
AS2U68,82.0
72UZ0J,98.0
BGSWEM,91.0
COSKB1,68.0
NMO1JS,56.0
D10AZT,68.0
W5N5N9,74.0
GHBOZ0,66.0
VJ3JTH,60.0
M50LSG,66.0
8RBGX1,62.0
RNGHP3,62.0
5SV27M,72.0
ZNAWX0,87.0
LTRX7K,52.0
9MJINY,71.0
LYKR5V,67.0
YGID25,72.0
5SXGTH,52.0
ZWIRST,68.0
UHKLRL,49.0
7OY9GB,64.0
SV3QCR,59.0
UXHG4H,62.0
YGN2S3,48.0
ZKYVCX,68.0
7ISIDS,76.0
C7KCGK,52.0
64VPTZ,53.0
EA2Q8N,78.0
NQCQB4,47.0
PO1YCP,71.0
CD2GA4,66.0
0B91MR,95.0
VLEPLP,43.0
HRND0P,69.0
PEN294,56.0
9I8WB7,94.0
EPLW35,84.0
84SI70,95.0
HFTS2K,54.0
5JW0IN,63.0
7NAKTH,72.0
GNAY4R,52.0
Z571TH,43.0
4S4BBE,58.0
F2FY42,68.0
I4NWBT,50.0
09M68N,73.0
T1ZAQG,40.0
BGLH8R,71.0
QSS4JC,63.0
88XSGZ,55.0
MQC94A,69.0
3OWLQS,57.0
8PVTXN,54.0
6DM4T5,60.0
JBM7L4,47.0
23C4MN,86.0
KPJHND,46.0
P49VJV,74.0
2EWMVB,87.0
DO8TLF,58.0
87A6BW,77.0
5F320K,48.0
LSAJNU,79.0
927FF6,47.0
V1H57K,69.0
TZIO0L,87.0
UN9WU9,60.0
Y85P38,85.0
E4RFSH,74.0
BUN0YV,72.0
Y73QMO,61.0
5JYZ1H,59.0
0JYJ21,74.0
V1FSG1,54.0
4EESH9,91.0
MJ8B2G,76.0
68GI92,87.0
KRFC98,57.0
M0V0FY,52.0
XB1NLJ,63.0
TT95IR,70.0
LZFG2L,48.0
BHC6JX,63.0
WZ46RU,35.0
ZRK178,51.0
43MINH,80.0
055APF,73.0
U1GMC0,78.0
SNXSFW,84.0
N0JZTC,75.0
QW10S2,62.0
9AOR7M,64.0
5WDBUU,75.0
2X619G,78.0
XFCHXG,92.0
N5V3C3,80.0
9Q7WEN,58.0
9JJYDW,59.0
6M8WVJ,79.0
A5GPL2,38.0
AL21L7,87.0
M9O63Q,70.0
3WN71Y,69.0
W0450G,57.0
ZV316S,70.0
MXBFZS,50.0
GOX4XS,77.0
ZQE17J,46.0
F38WWU,59.0
YUPI42,75.0
8HURMA,60.0
SIFPVA,53.0
EK2Z2C,71.0
QHKTV4,62.0
0848CO,74.0
TPCSVO,63.0
E7SYYZ,79.0
Z3KQK7,64.0
IDNH5A,70.0
2NLIEU,83.0
1675VL,83.0
E8TC84,73.0
81L9OM,75.0
MTLPCE,52.0
8YVZE9,64.0
7OTPTM,70.0
QBYWR2,48.0
3GBGCT,78.0
F38NOE,64.0
6ZEMY9,62.0
M89MY0,50.0
LDX9L4,64.0
CUSS5D,48.0
X4IHSY,50.0
LYN81Y,63.0
3FT0MZ,68.0
C2776Z,83.0
UF4PY0,81.0
NANH1J,42.0
UO04R9,72.0
VQZCLO,60.0
SOOPA4,73.0
0PXLMO,56.0
9ZRD8P,51.0
G5OKG8,80.0
HM7KE1,59.0
BMUJCL,55.0
NNBGV2,60.0
U5SXYM,71.0
QT3D6G,70.0
DC9H45,76.0
LMUNGZ,73.0
85ANME,69.0
0VEP68,91.0
2RKGDD,92.0
CN9YTK,40.0
S1TMKY,85.0
HZ2RQX,45.0
W5TVGR,67.0
7ZV3Y7,84.0
G26F7I,78.0
8RCSI9,85.0
76YG9H,71.0
OTM2LZ,56.0
Q47FCR,79.0
AHU2HL,94.0
8CZ5LI,47.0
HHKEIF,73.0
8DWL0R,69.0
UWB7ND,74.0
6RAANP,53.0
RG3GFM,50.0
UBVDGX,53.0
N073EI,70.0
DLJLNL,50.0
S2KYU7,97.0
KFKCMR,74.0
K371A9,55.0
O8SSO8,50.0
TA6KI6,68.0
WYYTE4,66.0
YNJIA7,64.0
0PZBED,74.0
5ZNSUH,47.0
2BH5CU,87.0
F7YOKM,80.0
BX1LTQ,68.0
WXUGI1,74.0
X41ID7,53.0
AUMCB3,91.0
9ZC6DI,70.0
EGLMUJ,76.0
DK9KNR,70.0
7NP97P,77.0
3UI37L,93.0
VLVYT9,98.0
XAFZ5Z,92.0
VOPYP9,70.0
VX0GUV,44.0
0MRANQ,66.0
TYNMWA,59.0
OX4DNU,92.0
3KZ9GL,63.0
ZWXO8D,83.0
HUPLU7,60.0
55SHKZ,68.0
9DC1Y5,76.0
LY29N2,60.0
3ZV8FG,65.0
LQ4F7O,61.0
Z3LMMA,82.0
GVFRNW,69.0
2WONXJ,64.0
TFF5FA,59.0
90LDPA,60.0
5I0KC2,71.0
8N8FRA,68.0
1CGVJF,69.0
BMZOII,58.0
OATJ72,69.0
DG1LIU,54.0
3U9VYI,62.0
YV4ENE,53.0
FHPD7G,54.0
I1T41R,61.0
GGUAAA,61.0
72S4UR,81.0
LBZAHB,60.0
4QPNEA,63.0
LUPS00,47.0
XUENOG,55.0
H3I8L6,48.0
IPJGY7,63.0
9GBXTD,44.0
I0X50A,39.0
WBGBF4,54.0
IH8JUL,44.0
JGJZYH,74.0
OL7HET,60.0
